Seleção,Grupo,Camisa1,Nº,Nome,Posição_Copa,FC26_ID,FC26_Nome,FC26_Posição,FC26_PosAlternativas,Overall,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,SprintSpeed,Finishing,ShotPower,LongShots,Volleys,Penalties,Positioning,ShortPassing,LongPassing,Curve,FKAccuracy,Crossing,Vision,Dribbling,BallControl,Agility,Balance,Reactions,Composure,Interceptions,DefensiveAwareness,StandingTackle,SlidingTackle,HeadingAccuracy,Aggression,Jumping,Stamina,Strength,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,PlayStyles,PlayStylesPlus,SkillMoves,WeakFoot,PreferredFoot
New Zealand,G,Max Crocombe,22,Michael Woud,GK,235860,Michael Woud,GK,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,50,60,56,63,,,1,2,2
Paraguay,D,Roberto Junior Fernández,12,Orlando Gill,GK,75260,Orlando Gill,GK,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,62,60,63,62,,,1,3,2
Canada,B,Dayne St. Clair,18,Owen Goodman,GK,276806,Owen Goodman,GK,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,63,64,64,66,,,1,3,2
Czechia,A,Matej Kovar,2,David Zima,DEF,255687,David Zima,CB,,74,76,38,54,62,75,75,72,80,30,61,35,33,44,27,64,61,51,32,36,55,60,63,59,58,73,73,76,78,74,74,67,70,80,71,78,5,12,13,10,,Jockey,,2,4,1
Czechia,A,Matej Kovar,3,Tomas Holes,DEF,251116,Tomáš Holeš,CB,CDM,76,74,58,69,69,75,80,74,74,52,72,60,50,54,64,70,70,58,55,73,67,65,70,70,82,74,73,76,76,74,75,77,80,89,77,81,9,10,8,13,,"Long Ball Pass,Slide Tackle",,2,4,1
Czechia,A,Matej Kovar,4,Robin Hranac,DEF,276646,Robin Hranáč,CB,,71,75,38,51,52,70,76,65,84,25,68,38,33,42,36,66,64,31,28,30,45,48,56,55,42,69,54,70,68,71,70,73,70,84,64,84,5,15,15,6,,"Long Ball Pass,Aerial Fortress",,2,2,1
Czechia,A,Matej Kovar,5,Vladimir Coufal,DEF,244470,Vladimír Coufal,RB,RM,73,58,56,70,70,74,71,62,54,50,66,59,61,49,68,71,69,74,42,77,68,69,72,64,70,74,72,74,75,75,75,68,86,71,63,68,13,12,12,6,,"Whipped Pass,Jockey,Long Throw",,3,3,1
Czechia,A,Matej Kovar,6,Stepan Chaloupek,DEF,73456,Štěpán Chaloupek,CB,,70,69,34,52,57,68,76,65,73,31,45,31,24,38,37,64,60,40,34,35,51,51,64,51,55,66,66,67,67,68,72,71,75,83,65,81,11,9,12,9,,Slide Tackle,,2,3,1
Czechia,A,Matej Kovar,7,Ladislav Krejci,DEF,252064,Ladislav Krejčí,CB,CDM,78,72,68,68,69,76,84,68,75,62,78,68,65,76,73,75,74,55,54,56,70,69,72,55,65,75,75,77,75,76,74,82,88,89,79,85,9,5,6,14,,"Pinged Pass,Bruiser",,3,3,2
Czechia,A,Matej Kovar,14,David Jurasek,DEF,267594,David Jurásek,LB,LM,73,83,61,68,72,67,74,84,83,51,77,67,58,55,67,66,63,72,69,76,68,73,72,71,74,71,67,67,66,68,65,64,73,82,75,74,6,6,7,8,,"Pinged Pass,Long Ball Pass,Whipped Pass,Press Proven",,3,2,2
Czechia,A,Matej Kovar,20,Jaroslav Zeleny,DEF,199323,Jaroslav Zelený,CB,"LB,LM",72,74,62,69,70,71,75,72,75,61,66,63,61,51,67,73,68,51,61,71,68,70,72,68,57,74,75,71,70,70,68,76,68,88,71,78,11,7,11,11,,,,3,3,2
Czechia,A,Matej Kovar,21,David Doudera,DEF,269509,David Douděra,RM,"RB,RW",74,89,66,65,72,65,67,88,89,68,69,63,70,45,73,68,64,52,48,75,57,71,72,84,74,70,56,66,62,67,69,58,71,73,85,56,15,15,8,11,,"Whipped Pass,Rapid,Relentless",,3,2,1
Czechia,A,Matej Kovar,8,Vladimír Darida,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Czechia,A,Matej Kovar,12,Lukas Cerv,MID,71259,Lukáš Červ,CDM,CM,74,69,65,67,69,71,78,69,69,61,73,66,61,68,62,73,72,51,51,64,63,68,71,68,69,72,63,72,69,72,70,70,88,77,78,75,6,12,6,7,,"Relentless,Bruiser",,2,2,1
New Zealand,G,Max Crocombe,25,Lachlan Bayliss,MID,276249,Lachlan Bayliss,CAM,"CM,RM",62,74,56,56,64,50,56,75,73,56,58,55,49,53,60,60,56,55,52,48,60,62,64,79,73,57,57,48,46,55,53,48,50,60,60,56,7,11,12,8,,,,3,4,1
Czechia,A,Matej Kovar,18,Michal Sadilek,MID,245209,Michal Sadílek,CDM,CM,76,53,58,75,71,72,79,74,36,50,71,60,55,62,64,78,81,71,69,69,73,68,74,72,84,71,70,72,74,71,73,64,83,70,86,74,7,15,9,14,,"Slide Tackle,Relentless,Bruiser",,3,2,2
Czechia,A,Matej Kovar,22,Tomas Soucek,MID,236792,Tomáš Souček,CDM,CM,78,45,72,71,68,78,82,42,47,72,73,70,79,70,76,75,75,63,53,68,71,71,75,34,48,78,73,77,75,79,79,84,79,79,87,80,11,13,5,6,,"Precision Header,Aerial Fortress",,3,3,1
Czechia,A,Matej Kovar,24,Alexandr Sojka,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Czechia,A,Matej Kovar,25,Hugo Sochurek,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
